ano,orcamento
2014,1761321512.0
2015,1884761435.0000002
2016,1958705595.0
2017,2220731519.0
2018,2208548388.0
2019,2316455207.0
2020,2360762701.0000005
2021,2434647226.0000005
2022,2460571082.0
2023,2454187388.0
2024,2728099372.0
